Registro_ANS;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP
330809;AV. BRIGADEIRO EDUARDO GOMES;526;POLO INDUSTRIAL TUBARÃƒO;SERRA;Serra;ES;29160904
418285;AV. CONTORNO;3455; GALPÃ£O 6, 2Âº ANDAR, PARTE A;PAULO CAMILO;Betim;MG;32669900
323942;AV. DR. JOSE GROSSI;16;;GUARAPIRANGA;Ponte Nova;MG;35430213
378216;AV. ÃLVARES CABRAL;200;8Âº ANDAR;CENTRO;Belo Horizonte;MG;30170000
418501;TRAVESSA DR. FELÃCIO BRANDI;22;LOJA 01 - ED REGINA LOPES DOS SANTOS;CENTRO;ViÃ§osa;MG;36570000
338648;Rua Emiliano Perneta;777;;CENTRO;Curitiba;PR;80420080
312126;RUA CURITIBA;689;11Âº ANDAR;CENTRO;Belo Horizonte;MG;30170120
339954;AV. KIYOSHI TSUNAWAKI;41;;BAIRRO DAS Ã€GUAS;Ipatinga;MG;35160158
418129;RUA MENDEL;306;SALA 1;CARANDÃ BOSQUE I;Campo Grande;MS;79032320
414689;RUA ANTONIO AUGUSTO;1271;SL 301;ALDEOTA;Fortaleza;CE;60110370
409286;AVENIDA SÃƒO PEDRO ;455;;ESTAÃ‡ÃƒO ;SÃ£o Pedro da Aldeia;RJ;28940000
419443;RUA DA ASSEMBLEIA ;10;SALAS 2001 A 2003;CENTRO;Rio de Janeiro;RJ;20011000
407011;ALAMEDA XINGU;512;17 ANDAR, SALA 1704;ALPHAVILLE CENTRO INDUSTRIAL E;Barueri;SP;6455030
343064;RUA AMÃ‰RICO GOMES DA COSTA;114;;VILA AMERICANA;SÃ£o Paulo;SP;8010120
419931;RUA DOM PEDRO II;54;SALA 506;CENTRO;Santos;SP;11010080
323080;TERRAÃ‡O SHOPPING SHC-AO SUL, EA 02/08 LO;5;TR.B 3Âº ANDAR;OCTOGONAL SUL;BrasÃ­lia;DF;70660900
424226;RUA BARÃƒO DE ITAPETININGA;125;CONJ. 11;REPUBLICA;SÃ£o Paulo;SP;10420010
423076;RUA DO CARMO;8;6 ANDAR;CENTRO;Rio de Janeiro;RJ;20011020
416819;RUA JOAQUIM SILVEIRA;557;PARQUE SAO SEBASTIAO;PASSO DA MANGUEIRA;Porto Alegre;RS;91060320
422258;R Doutor Pedro Correia;5;Sala 09;Centro;Arapiraca;AL;57300400
422681;RUA ERASMO BRAGA;1175;;JARDIM CHAPADAO;Campinas;SP;13070147
423726;RUA ANTONIO NOVATO;16;SALA 4;CENTRO;ParÃ¡ de Minas;MG;35660008
309222;AV. PRESIDENTE VARGAS ;914;LOJAS A e B, salas 310,410,510,610,710;CENTRO;Rio de Janeiro;RJ;20071001
413160;RUA FERNANDO BIZZOTO;90;A;CENTRO;Nova Friburgo;RJ;28613040
350249;AV. JOSÃ‰ MUNIA;6250;;JARDIM FRANCISCO FERNANDES;SÃ£o JosÃ© do Rio Preto;SP;15090275
423122;RUA PEDRO ALVIM;55-A;SALA 2;VILA JUNQUEIRA;Atibaia;SP;12941710
368253;AV HERÃCLITO GRAÃ‡A;406;2Âº ANDAR;CENTRO;Fortaleza;CE;60140060
